DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2009,9.9,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2010,8.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2011,8.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2012,9.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2013,9.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2014,10.4,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2015,10.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2016,11.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2017,11.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2018,10.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2019,9.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2020,11.8,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2021,12.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2022,11.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,AT,2023,10.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BA,2021,27.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BA,2022,31.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BA,2023,26.8,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2009,15.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2010,17.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2011,15.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2012,15.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2013,16.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2014,16.8,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2015,17.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2016,17.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2017,15.5,b
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2018,13.9,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2019,13.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2020,13.9,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2021,15.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2022,13.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BE,2023,13.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2009,20.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2010,26.6,b
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2011,30.4,b
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2012,31.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2013,32.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2014,31.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2015,30.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2016,27.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2017,24.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2018,20.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2019,18.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2020,19.9,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2021,18.4,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2022,14.1,b
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,BG,2023,16.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2010,8.3,b
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2011,8.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2012,7.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2013,7.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2014,8.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2015,8.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2016,9.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2017,8.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2018,8.4,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2019,7.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2020,9.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2021,10.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2022,8.8,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CH,2023,8.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2009,5.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2010,5.2,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2011,5.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2012,9.6,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2013,12.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2014,12.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2015,14.3,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2016,12.5,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2017,12.0,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2018,10.1,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2019,6.7,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2020,7.8,
ESTAT:UNE_EDUC_A(1.0),31/07/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2021,9.8,
